a0,a1,a2,a3,a4,a5,a6,a7,a8
1510555672,83,17,83,85,83,40782,88,81
1510555977,83,32,83,49,83,40795,88,81
1510556278,83,39,83,24,83,40807,88,81
1510556577,83,21,83,26,83,40787,88,81
1510556877,82,69,82,39,82,40847,88,81
1510557177,82,73,82,38,82,40993,88,81
1510557477,82,68,82,39,82,41106,88,81
1510557777,83,74,83,38,83,41131,88,81
1510558077,82,23,82,48,82,41181,88,81
1510558377,83,30,83,32,83,41076,88,81
1510558677,83,22,83,51,83,41072,88,81
1510558977,83,31,83,62,83,40932,88,81
1510559278,82,26,82,50,82,40902,88,81
1510559579,83,32,83,64,83,40863,88,81
1510559941,82,56,82,39,82,41035,88,81
1510560177,82,37,82,23,82,41042,88,81
1510560477,82,46,82,35,82,40299,88,81
1510560777,82,37,82,54,82,39696,88,81
1510561077,82,32,82,58,82,39235,88,81
1510561378,82,18,82,82,82,39054,88,81
1510561677,82,69,82,31,82,38413,88,81
1510561977,82,47,82,74,82,38226,88,81
1510562277,82,19,82,37,82,38012,88,81
1510562577,82,34,82,66,82,37916,88,81
1510562877,82,18,82,86,82,37841,88,81
1510563178,82,63,82,34,82,37841,88,81
1510563480,82,22,82,74,82,37723,88,81
1510563777,82,19,82,76,82,37639,88,81
1510564078,82,18,82,70,82,37561,88,81
1510564377,82,14,82,81,82,37444,88,81
1510564678,82,34,82,67,82,37467,88,81
1510564977,81,71,81,33,81,37920,88,81
1510565277,82,44,82,93,82,38143,88,81
1510565577,82,52,82,25,82,38128,88,81
1510565877,81,43,81,39,81,38134,88,81
1510566177,81,56,81,70,81,38275,88,81
1510566477,81,43,81,85,81,38468,88,81
1510566777,81,24,81,82,81,38413,88,81
1510567077,81,47,81,57,81,38476,88,81
1510567377,82,35,82,81,82,38356,88,81
1510567677,82,82,82,17,82,38350,88,81
1510567977,82,44,82,25,82,38355,88,81
1510568278,82,22,82,45,82,38111,88,81
1510568577,82,40,82,28,82,37961,88,81
1510568877,81,55,81,28,81,37921,88,81
1510569177,81,63,81,16,81,37931,88,81
1510569477,82,44,82,16,82,37867,88,81
1510569777,82,37,82,26,83,38286,88,81
1510570077,82,62,82,58,82,37747,88,81
1510570377,82,78,82,24,82,37682,88,81
1510570677,82,36,82,73,82,37518,88,81
1510570977,82,49,82,65,82,37445,88,81
1510571277,82,27,82,84,82,37435,88,81
1510571577,82,41,82,56,82,37435,88,81
1510571878,82,31,82,49,82,37430,88,81
1510572177,82,20,82,97,82,37466,88,81
1510572477,82,21,82,94,82,37454,88,81
1510572779,82,28,82,96,82,37333,88,81
1510573077,82,25,82,90,82,37320,88,81
1510573377,82,22,82,89,82,37177,88,81
1510573677,83,43,83,58,83,37358,88,81
1510573977,83,70,83,78,83,37512,88,81
1510574277,83,64,83,46,83,37700,88,81
1510574577,83,18,83,79,83,37680,88,81
1510574877,83,17,83,38,83,37739,88,81
1510575177,83,14,83,99,83,37756,88,81
1510575478,83,17,83,45,83,37805,88,81
1510575777,83,25,83,59,83,37783,88,81
1510576077,83,24,83,59,83,37781,88,81
1510576377,83,14,83,67,83,37885,88,81
1510576677,83,0,83,0,83,38229,88,81
1510576977,83,38,83,34,83,37430,88,81
1510577277,83,48,83,66,83,36295,87,81
1510577577,83,33,83,111,83,35988,87,81
1510577877,83,40,83,94,83,35823,87,81
1510578177,83,43,83,35,83,35679,87,81
1510578477,83,28,83,16,83,35605,87,81
1510578777,83,69,83,43,83,35653,87,81
1510579077,82,35,82,50,82,35877,87,81
1510579377,82,40,82,21,82,35883,87,81
1510579677,82,24,82,48,82,35902,87,81
1510579977,82,20,82,68,82,35776,87,81
1510580277,82,59,82,55,82,35754,87,81
1510580577,82,28,82,97,82,35820,87,81
1510580877,82,44,82,85,82,35875,87,81
1510581177,82,14,82,87,82,35899,87,81
1510581477,82,53,82,62,82,35904,87,81
1510581777,82,55,82,40,82,35962,87,81
1510582077,83,66,83,93,83,35941,87,81
1510582377,83,28,83,41,83,35936,87,81
1510582677,83,22,83,76,83,35818,87,81
1510582977,83,55,83,33,82,35793,87,81
1510583277,82,54,82,28,82,35750,87,81
1510583577,83,84,83,26,83,35760,87,81
1510583877,82,31,82,37,82,35748,87,81
1510584178,82,91,82,17,82,35714,87,81
1510584477,83,57,83,26,83,35682,87,81
1510584777,83,37,83,14,83,35732,87,81
1510585077,83,58,83,46,83,35811,87,81
1510585377,83,39,83,20,83,35852,87,81
1510585677,83,42,83,56,83,35854,87,81
1510585977,83,32,83,60,83,35648,87,81
1510586277,83,22,83,44,83,35646,87,81
1510586577,83,31,83,66,83,35567,87,81
1510586878,83,77,83,64,83,35455,87,81
1510587177,82,33,82,64,82,35388,87,81
1510588099,82,36,82,49,82,35488,87,81
1510588377,82,51,82,76,82,35490,87,81
1510588677,82,84,82,20,82,35355,87,81
1510588977,83,64,83,22,83,35424,87,81
1510589277,83,73,83,39,83,35625,87,81
1510589578,83,76,83,24,83,35766,87,81
1510589879,83,82,83,15,83,35763,87,81
1510590177,83,56,83,40,83,35980,87,81
1510590477,83,45,83,31,83,35939,87,81
1510590777,83,27,83,16,83,35873,87,81
1510591077,83,93,83,31,84,35906,87,81
1510591377,83,38,83,60,83,36200,87,81
1510591677,83,58,83,20,83,36161,87,81
1510591977,84,57,84,20,84,36187,87,81
1510592277,84,67,84,29,84,36225,87,81
1510592577,84,79,84,6,84,36227,87,81
1510592877,84,74,84,9,84,36187,87,81
1510593177,84,104,84,23,84,36326,87,81
1510593477,83,41,83,17,83,36552,87,81
1510593777,84,77,84,13,84,36533,87,81
1510594077,84,42,84,26,84,36470,87,81
