b0,b1,b2,b3,b4,b5,b6,b7,b8
1510555672,91,370,91,1214,91,116052,95,89
1510555977,91,932,91,863,91,116288,95,89
1510556278,91,542,91,1041,91,116285,95,89
1510556577,91,363,91,1042,91,115899,95,89
1510556878,91,395,91,1153,91,115720,95,89
1510557177,91,406,91,1026,91,115655,95,89
1510557477,91,534,91,1533,91,115529,95,89
1510557778,91,1124,91,1093,91,115548,95,89
1510558077,91,715,91,1133,91,115520,95,89
1510558377,91,474,91,1209,91,115480,95,89
1510558677,91,927,91,756,91,115592,95,89
1510558977,91,809,91,774,91,115551,95,89
1510559279,91,589,91,803,91,115525,95,89
1510559579,91,535,91,975,91,115450,95,89
1510559942,91,319,91,1127,91,115516,95,89
1510560177,91,565,91,1046,91,115424,95,89
1510560478,91,746,91,910,91,114000,95,89
1510560777,91,590,91,1382,91,113387,95,89
1510561077,0,-1,0,-1,0,-1,0,0
1510561379,90,391,90,949,90,113214,95,89
1510561677,91,607,91,1516,91,109514,95,89
1510561978,90,881,90,1012,90,109181,95,89
1510562278,91,839,91,646,91,108941,95,89
1510562577,90,838,91,602,90,108774,95,89
1510562877,90,558,90,1334,90,107840,95,89
1510563179,91,466,91,829,91,107025,95,89
1510563481,91,721,91,622,91,106954,95,89
1510563777,90,553,90,295,90,106758,95,89
1510564078,90,686,90,607,90,106652,95,89
1510564377,90,767,90,769,90,106317,95,89
1510564679,90,455,90,879,90,106265,95,89
1510564978,90,622,90,1258,90,107676,95,89
1510565277,90,1117,90,1095,90,108201,95,89
1510565578,90,0,90,0,90,108260,95,89
1510565878,90,1482,90,676,90,108338,95,89
1510566177,90,711,90,1251,90,109176,95,89
1510566478,90,770,90,876,90,110146,95,89
1510566777,90,915,90,901,90,107896,95,89
1510567077,90,646,90,696,90,107845,95,89
1510567377,90,1102,90,922,90,107705,95,89
1510567677,90,1263,90,1059,90,107921,95,89
1510567977,90,1386,90,874,90,107554,95,89
1510568279,90,930,90,911,90,107104,95,89
1510568577,90,1705,90,309,90,106404,95,89
1510568877,90,1252,90,1400,90,106042,95,89
1510569177,90,1594,90,864,90,106032,95,89
1510569477,90,1096,90,1199,90,106541,95,89
1510569778,91,1145,91,1816,91,108887,95,89
1510570077,91,1516,91,1151,91,108666,95,89
1510570377,91,1212,91,1554,91,108151,95,89
1510570677,91,932,91,1696,91,107243,95,89
1510570977,90,1380,90,931,90,107106,95,89
1510571278,90,855,90,1476,90,107543,95,89
1510571577,90,1224,90,990,90,106723,95,89
1510571878,90,1308,90,1257,90,106379,95,89
1510572177,90,867,90,764,90,106384,95,89
1510572478,90,1307,90,1033,90,106501,95,89
1510572779,90,1106,90,947,90,106176,95,89
1510573077,90,980,90,823,90,106223,95,89
1510573377,90,854,90,644,90,106014,95,89
1510573678,91,1508,91,543,91,106497,95,89
1510573979,91,1029,91,833,91,106715,95,89
1510574277,91,710,91,823,91,106819,95,89
1510574579,91,1036,91,830,91,106712,95,89
1510574877,91,530,91,662,91,106750,95,89
1510575178,91,697,91,444,91,106656,95,89
1510575478,91,724,91,545,91,106727,95,89
1510575777,91,525,91,549,91,106626,95,89
1510576077,91,360,91,934,91,106676,95,89
1510576378,91,844,91,1071,91,106378,95,89
1510576677,91,876,91,624,91,105858,95,89
1510576977,91,678,91,841,91,102662,95,89
1510577277,91,1061,91,790,91,101360,95,89
1510577577,0,-1,0,-1,0,-1,0,0
1510577878,91,836,91,612,91,101103,95,89
1510578177,91,595,91,887,91,101156,95,89
1510578477,91,354,91,818,91,101279,95,89
1510578777,91,996,91,921,91,101405,95,89
1510579077,91,1187,91,1147,91,102112,95,89
1510579377,91,431,91,518,91,98208,95,89
1510579678,91,952,91,576,91,98516,95,89
1510579977,91,857,91,890,91,98516,95,89
1510580277,90,1038,90,791,90,98833,95,89
1510580578,91,1241,91,470,91,98561,95,89
1510580878,91,845,91,762,91,98694,95,89
1510581178,91,602,91,904,91,98921,95,89
1510581478,91,535,91,957,91,98855,95,89
1510581777,91,902,91,943,91,99219,95,89
1510582077,91,743,91,743,91,97582,95,89
1510582377,91,497,91,861,91,97257,95,89
1510582677,91,729,91,721,91,97452,95,89
1510582977,91,802,91,557,91,97759,95,89
1510583277,91,1030,91,867,91,98433,95,89
1510583577,91,561,91,1179,91,98746,95,89
1510583877,91,1003,91,577,91,98673,95,89
1510584178,91,655,91,597,91,98214,95,89
1510584477,91,858,91,923,91,97861,95,89
1510584778,91,1012,91,587,91,97733,95,89
1510585077,91,818,91,639,91,97622,95,89
1510585377,91,328,91,1060,91,97207,95,89
1510585677,91,707,91,1069,91,97139,95,89
1510585977,91,1023,91,597,91,97447,95,89
1510586277,91,1831,92,811,91,98718,95,89
1510586577,91,1869,91,1052,91,98480,95,89
1510586878,91,1725,92,708,91,98316,95,89
1510587177,91,629,91,1492,91,98709,95,89
1510588101,91,497,91,1323,91,99197,95,89
1510588377,91,1037,91,1468,91,99518,95,89
1510588677,91,314,91,1693,91,100590,95,89
1510588977,92,658,92,714,91,103624,95,89
1510589277,92,662,92,999,92,104535,95,89
1510589578,91,857,91,1100,91,104511,95,89
1510589879,92,453,92,1005,92,104958,95,89
1510590178,91,606,91,667,91,105603,95,89
1510590477,92,849,92,478,92,105131,95,89
1510590777,92,592,92,596,92,104870,95,89
1510591077,92,964,92,774,92,104875,95,89
1510591377,92,911,92,541,92,104956,95,89
1510591677,92,231,92,1016,92,105415,95,89
1510591978,92,844,92,1014,92,105616,95,89
1510592277,92,949,92,713,92,105651,95,89
1510592577,92,522,92,525,92,105399,95,89
1510592877,92,1053,92,686,92,106282,95,89
1510593177,92,1053,92,879,92,106508,95,89
1510593478,92,1128,92,440,92,107007,95,89
1510593778,92,982,92,787,92,107032,95,89
1510594077,92,882,92,417,92,107224,95,89
1510594378,92,663,92,828,92,107548,95,89
1510594677,92,307,92,863,92,107502,95,89
1510594979,92,975,92,366,92,107642,95,89
1510595279,92,734,92,1031,92,107777,95,89
1510595577,92,673,92,795,92,107760,95,89
1510595877,92,657,92,945,92,107615,95,89
1510596177,92,825,92,1408,92,107543,95,89
1510596477,92,874,92,1106,92,107597,95,89
1510596778,92,1134,92,1218,92,103963,95,89
1510597077,92,765,92,1087,92,103728,95,89
1510597377,92,831,92,916,92,103584,95,89
1510597677,91,535,92,721,91,105574,94,89
1510597978,92,621,92,1136,92,105871,94,89
1510598278,91,614,91,810,91,105927,94,89
1510598577,92,567,92,1525,92,105966,94,89
1510598878,92,856,92,1419,92,106050,94,89
1510599177,92,758,92,1274,92,106205,94,89
1510599477,92,1320,92,953,92,106606,94,89
1510599778,92,446,92,1088,92,106431,94,89
1510600077,92,1343,92,710,92,106176,94,89
1510600378,92,1258,92,696,92,105785,93,89
1510600678,92,1500,92,1113,92,104890,93,89
1510600977,92,700,92,945,92,103105,93,89
1510601277,92,1045,92,842,92,99032,93,89
1510601579,92,2081,92,1089,92,98429,92,89
1510601878,92,2144,92,955,92,98279,92,89
1510602177,92,2075,92,1016,92,97915,92,89
1510602477,92,1721,92,799,92,97592,92,89
1510602777,92,1751,92,1024,92,97291,92,89
1510603078,92,1130,92,1661,92,97425,92,89
1510603377,93,1027,93,932,93,96599,93,89
1510603677,92,1253,92,1224,92,96656,93,89
1510603977,92,643,92,687,92,96321,93,89
1510604278,92,623,92,676,92,95605,93,89
1510604577,92,717,92,712,92,88147,93,89
1510604878,92,364,92,705,92,86435,93,89
1510605177,93,2220,93,757,93,86261,93,89
1510605478,93,2221,93,704,93,86154,93,89
1510605777,93,2105,93,819,93,86366,93,89
1510606077,92,2940,93,793,93,86812,93,89
1510606377,92,553,92,846,92,90236,93,89
1510606678,91,555,91,973,91,91750,93,89
1510606978,91,345,91,744,91,91760,93,89
1510607277,91,380,91,615,91,92602,93,89
1510607578,91,851,91,906,91,92473,93,89
1510607879,91,748,91,927,91,92715,93,89
1510608178,91,545,91,1092,91,92539,93,89
1510608605,91,495,91,886,91,92371,93,89
1510608777,91,432,91,895,91,92298,93,89
1510609078,91,1043,91,1384,91,92265,93,89
1510609377,91,793,91,842,91,92255,93,89
1510609677,91,1602,91,1125,91,92317,93,89
1510609978,91,1087,91,1090,91,92163,93,89
1510610278,91,819,91,656,91,90398,93,89
1510610578,91,533,91,1056,91,89902,93,89
1510610878,91,557,91,543,91,89093,93,89
1510611177,91,1040,91,898,91,89015,93,89
1510611479,91,993,91,1125,91,89391,93,89
1510611778,91,979,91,1377,91,89391,93,89
1510612077,91,553,91,1033,91,89518,93,89
1510612377,91,533,91,881,91,89585,93,89
1510612677,91,977,91,828,91,89639,93,89
1510612977,91,831,91,1324,91,90171,93,89
1510613277,91,803,91,1237,91,90171,93,89
1510613578,91,650,91,1497,91,90266,93,89
1510613878,90,885,90,1351,90,91201,93,89
1510614177,90,594,90,991,90,92361,93,89
1510614477,90,619,90,877,90,94509,93,89
1510614778,91,680,91,797,91,95623,93,89
1510615078,91,967,91,558,91,95490,93,89
1510615377,91,687,91,888,91,95397,93,89
1510615677,90,587,91,800,91,95542,93,89
1510615977,90,904,90,897,90,95787,93,89
1510616279,90,815,91,1443,90,95808,93,89
1510616579,90,973,90,736,90,95582,93,89
1510616878,90,917,91,664,91,95317,93,89
1510617177,90,659,91,670,91,94673,93,89
1510617477,91,691,91,807,91,94630,93,89
1510617777,91,1077,91,672,91,94727,93,89
1510618077,91,913,91,1120,91,94589,93,89
1510618378,91,1147,91,508,91,94190,93,89
1510618678,91,1100,91,965,91,94148,93,89
1510618977,91,993,91,920,91,94268,93,89
1510619277,91,1045,91,661,91,94397,93,89
1510619577,91,714,91,424,91,94481,93,89
1510619877,91,851,91,563,91,93464,93,89
1510620177,91,1216,91,972,91,93393,93,89
1510620478,91,993,91,897,91,93639,93,89
1510620778,91,741,91,447,91,93390,93,89
1510621079,91,708,91,1212,91,93422,93,89
1510621377,91,942,91,517,91,92885,93,89
1510621679,91,755,92,1082,92,91881,93,89
1510621977,91,693,92,796,91,91617,93,89
1510622278,91,1008,91,913,91,91234,93,89
1510622579,91,640,91,960,91,91184,93,89
1510623004,91,731,91,857,91,91036,93,89
1510623178,92,684,92,773,92,91152,93,89
1510623479,91,554,91,777,91,90945,93,89
1510623777,91,775,91,957,91,90918,93,89
1510624077,91,580,91,1234,91,90803,93,89
1510624377,91,529,91,1209,91,90722,93,89
1510624677,91,446,91,1189,91,90743,93,89
1510624977,91,479,91,1314,91,90589,93,89
1510625277,91,583,91,980,91,90785,93,89
1510625577,91,516,91,886,91,90813,93,89
1510625878,91,686,91,684,91,90815,93,89
1510626177,91,505,91,522,91,90824,93,89
1510626477,91,455,91,668,91,90676,93,89
1510626777,91,595,91,851,91,90731,93,89
1510627077,91,444,91,760,91,90710,93,89
1510627377,91,604,91,868,91,90705,93,89
1510627677,91,596,91,599,91,90648,93,89
1510627977,91,605,91,647,91,90647,93,89
1510628277,91,643,91,688,91,90482,93,89
1510628577,91,542,91,1524,91,90411,93,89
1510628878,91,379,91,1244,91,90222,93,89
1510629177,91,726,91,770,91,90187,93,89
1510629477,91,727,91,923,91,90114,93,89
1510629778,91,648,91,1051,91,89996,93,89
1510630077,91,616,91,1449,91,89938,93,89
1510630377,91,527,91,385,91,90109,93,89
1510630677,91,480,92,1001,91,90121,93,89
1510630978,91,489,91,880,91,90116,93,89
1510631277,91,589,91,1103,91,89999,93,89
1510631578,91,470,92,922,91,89973,93,89
1510631877,91,651,92,1059,91,90029,93,89
1510632178,91,1012,91,491,91,89969,93,89
1510632477,91,432,91,459,91,90048,93,89
1510632777,91,526,91,754,91,90068,93,89
1510633077,91,943,91,956,91,90380,93,89
1510633378,91,521,91,1188,91,90437,93,89
1510633680,91,384,91,1539,91,90464,93,89
1510633979,91,485,91,1257,91,90492,93,89
1510634278,91,594,91,1255,91,90317,93,89
1510634579,91,643,91,1459,91,88894,93,89
1510634877,91,842,91,1638,91,88731,93,89
1510635177,91,523,91,1398,91,88050,93,89
1510635477,91,532,91,1094,91,87155,93,89
1510635777,91,454,91,1046,91,86988,93,89
1510636077,91,709,91,1233,91,87404,93,89
1510636377,91,607,91,1178,91,87464,93,89
1510636677,91,503,91,1175,91,87309,93,89
1510636978,91,673,91,1022,91,86161,93,89
1510637279,91,781,91,1228,91,86275,93,89
1510637579,91,497,91,1517,91,85496,93,89
1510637877,91,376,91,839,91,85734,93,89
1510638178,91,916,91,1053,91,85431,93,89
1510638478,91,644,91,961,91,85080,93,89
1510638777,91,640,91,930,91,84758,93,89
1510639078,91,815,91,726,91,84635,93,89
1510639377,91,746,91,973,91,84009,93,89
1510639677,91,764,91,1041,91,83840,93,89
1510639979,91,1180,91,791,91,82248,93,89
1510640278,91,894,91,844,91,81209,93,89
1510640578,91,685,91,727,91,81129,93,89
1510640877,91,799,91,1069,91,81301,93,89
1510641179,91,356,91,818,91,81353,93,89
1510641477,91,472,91,627,91,81332,93,89
1510641778,91,656,91,856,91,81370,93,89
1510642077,91,761,91,509,91,81399,93,89
1510642377,91,778,91,407,91,81284,93,89
1510642678,90,1023,91,835,90,81476,93,89
1510642979,90,1125,90,571,90,81717,93,89
1510643277,90,1016,90,613,90,82222,93,89
1510643578,90,913,90,745,90,82299,93,89
1510643878,90,1212,91,1530,90,84807,93,89
